Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																																			0.000000	0.440063																																																																																																																	-0.000008	0.000074			-0.440128	
 1 	 2																																																																																			0.000000	0.424825																																																																																																																	-0.000009	0.000039			-0.424855	
 1 	 3																																																																																			0.000000	0.409563																																																																																																																	-0.000009	0.000029			-0.409583	
 1 	 4																																																																																			0.000000	0.399154																																																																																																																	-0.000010	0.000025			-0.399170	
 1 	 5																																																																																			0.000000	0.397767																																																																																																																	-0.000011	0.000025			-0.397781	
 1 	 6																																																																																			0.000000	0.392209																																																																																																																	-0.000011	0.000029			-0.392228	
 1 	 7																																																																																			0.000000	0.399746																																																																																																																	-0.000009	0.000127			-0.399864	
 1 	 8																																																																																			0.000000	1.031200																																																																																																																	-0.519578	0.000009			-0.511631	
 1 	 9																																																																																			0.000000	1.031200																																																																																																																	-0.351580	0.000009			-0.679630	
 1 	 10																																																																																			0.000000	1.031200																																																																																																																	-0.195440	0.000009			-0.835769	
 1 	 11																																																																																			0.000000	1.031200																																																																																																																	-0.083072	0.000009			-0.948137	
 1 	 12																																																																																			0.000000	1.031200																																																																																																																	-0.029766	0.000009			-1.001444	
 1 	 13																																																																																			0.000000	1.031200																																																																																																																	-0.034345	0.000009			-0.996864	
 1 	 14																																																																																			0.000000	1.031200																																																																																																																	-0.078845	0.000009			-0.952364	
 1 	 15																																																																																			0.000000	1.031200																																																																																																																	-0.137553	0.000008			-0.893655	
 1 	 16																																																																																			0.000000	1.031200																																																																																																																	-0.218335	0.000008			-0.812873	
 1 	 17																																																																																			0.000000	0.000023																																																																																																																	-0.000008	0.710001			-0.710016	
 1 	 18																																																																																			0.000000	0.000049																																																																																																																	-0.000008	0.587953			-0.587994	
 1 	 19																																																																																			0.000000	0.298521																																																																																																																	-0.000010	0.208955			-0.507466	
 1 	 20																																																																																			0.000000	0.481764																																																																																																																	-0.000012	0.000028			-0.481780	
 1 	 21																																																																																			0.000000	0.472060																																																																																																																	-0.000015	0.000016			-0.472061	
 1 	 22																																																																																			0.000000	0.463739																																																																																																																	-0.000020	0.000012			-0.463731	
 1 	 23																																																																																			0.000000	0.455420																																																																																																																	-0.000029	0.000009			-0.455400	
 1 	 24																																																																																			0.000000	0.445037																																																																																																																	-0.000058	0.000008			-0.444987	
 2 	 1																																																																																			0.000000	0.473378																																																																																																																	-0.000003	0.000075			-0.473450	
 2 	 2																																																																																			0.000000	0.444967																																																																																																																	-0.000003	0.000023			-0.444987	
 2 	 3																																																																																			0.000000	0.421370																																																																																																																	-0.000003	0.000017			-0.421384	
 2 	 4																																																																																			0.000000	0.398464																																																																																																																	-0.000003	0.000015			-0.398475	
 2 	 5																																																																																			0.000000	0.384580																																																																																																																	-0.000003	0.000015			-0.384591	
 2 	 6																																																																																			0.000000	0.370691																																																																																																																	-0.000004	0.000020			-0.370707	
 2 	 7																																																																																			0.000000	0.388634																																																																																																																	-0.000006	0.000129			-0.388756	
 2 	 8																																																																																			0.000000	1.031200																																																																																																																	-0.463342	0.000003			-0.567862	
 2 	 9																																																																																			0.000000	1.031200																																																																																																																	-0.230190	0.000003			-0.801014	
 2 	 10																																																																																			0.000000	1.031200																																																																																																																	-0.050191	0.000004			-0.981013	
 2 	 11																																																																																			0.000000	1.031200																																																																																																																	-0.000003	0.079209			-1.110406	
 2 	 12																																																																																			0.000000	1.031200																																																																																																																	-0.000004	0.158465			-1.189662	
 2 	 13																																																																																			0.000000	1.031200																																																																																																																	-0.000004	0.183944			-1.215141	
 2 	 14																																																																																			0.000000	1.031200																																																																																																																	-0.000003	0.159991			-1.191188	
 2 	 15																																																																																			0.000000	1.031200																																																																																																																	-0.000003	0.098817			-1.130014	
 2 	 16																																																																																			0.000000	1.031200																																																																																																																	-0.000003	0.007233			-1.038430	
 2 	 17																																																																																			0.000000	0.908016																																																																																																																	-0.000205	0.007214			-0.915025	
 2 	 18																																																																																			0.000000	0.766785																																																																																																																	-0.000027	0.000323			-0.767081	
 2 	 19																																																																																			0.000000	0.655959																																																																																																																	-0.000002	0.000070			-0.656027	
 2 	 20																																																																																			0.000000	0.608121																																																																																																																	-0.000017	0.000022			-0.608126	
 2 	 21																																																																																			0.000000	0.581750																																																																																																																	-0.000013	0.000009			-0.581746	
 2 	 22																																																																																			0.000000	0.560923																																																																																																																	-0.000010	0.000007			-0.560920	
 2 	 23																																																																																			0.000000	0.541486																																																																																																																	-0.000009	0.000005			-0.541482	
 2 	 24																																																																																			0.000000	0.522061																																																																																																																	-0.000021	0.000004			-0.522044	
 3 	 1																																																																																			0.000000	0.491438																																																																																																																	-0.000023	0.000084			-0.491499	
 3 	 2																																																																																			0.000000	0.482448																																																																																																																	-0.000026	0.000053			-0.482475	
 3 	 3																																																																																			0.000000	0.474132																																																																																																																	-0.000030	0.000042			-0.474144	
 3 	 4																																																																																			0.000000	0.475530																																																																																																																	-0.000034	0.000036			-0.475532	
 3 	 5																																																																																			0.000000	0.479703																																																																																																																	-0.000038	0.000033			-0.479698	
 3 	 6																																																																																			0.000000	0.457498																																																																																																																	-0.000045	0.000030			-0.457483	
